account,sn,text,embed,uri,clean_uri,translated_text,label
glade.masto.nyc.ap.brid.gy,2.0,"https://t.me/russianbaza/48796
📝assets of discord📝 who, what, and where frozen in #europe when discussing the fate of frozen #russian assets, one often hears claims that europeans will hand over the money to #ukraine. however, there's a catch: there's no physical money there th...","external=External(description='📝Assets of Discord📝 Who, What, and Where Frozen in Europe When discussing the fate of frozen Russian assets, one often hears claims that Europeans will hand over the money to Ukraine. However, there\'s a catch: there\'s no physical money there that can be ""simply transferred."" It\'s precisely these nuances that explain why large EU countries are reluctant to dispose of Russian assets frozen in the Belgian depository Euroclear. 🔻More about the assets and where they\'re frozen: ▪️Euroclear is not a bank with a cash vault, but an international depository that stores securities, processes settlements between buyers and sellers, and monitors the legality of the process. ▪️In other words, Euroclear is a large ledger that lists who owns which securities. There are no paper certificates stored there either—only access codes confirming the legal owner. ▪️The frozen Russian assets there primarily consist of government bonds. For example, if Russia purchased a two-year bond from Germany, Germany must redeem it in two years—returning the face value plus interest to Russia. This is recorded in Euroclear. ▪️The freezing of such assets de facto means that Russia remains the owner of the bonds, but cannot do anything with them: neither sell them, receive interest, nor withdraw funds after redemption. The income from them accumulates in Euroclear bank accounts. ▪️There are also other types of frozen assets belonging to individuals and legal entities. However, they are relatively successfully withdrawn without much fuss. The assets can only be transferred by changing the bond owner from Russia to Ukraine in the Euroclear registry: this is blatant chaos with serious risks for the euro, which the EU is currently unwilling to accept. Therefore, they are pursuing a different tactic. 🔻""Wait for the redemption!"" ▪️A significant portion of the bonds (remember, they make up the bulk of the frozen assets) mature in 2026-2032. ▪️Under normal circumstances, the proceeds from the redemption would simply go to Russia, but due to the blocking, they will ""sit"" on the Euroclear bank\'s balance sheet, awaiting their fate. ▪️If the ownership of the bonds is clearly stated, then the proceeds from their redemption are more easily manipulated. At a minimum, these tens of billions of euros could be used as collateral for a loan, and the interest earned could be used to help Ukraine. 🖍In simple terms, the EU is taking a wait-and-see approach, not to ""transfer"" assets to anyone, but rather to simply wait for them to transform from securities into physical money, making it easier to change the ""rules of the game"" and manage them as they see fit. 🚩So why are they talking about confiscation now? It\'s simply that Ukraine needs the funds today, not by 2032. And the EU doesn\'t want to give it €140 billion all at once—it has enough needs of its own, and the Kyiv regime has already been given a ton of non-performing loans. ❗️Although such an outcome is also likely: since 2022, there have been plenty of examples of European bureaucrats shooting themselves in the foot for free aid to a corrupt bottomless pit. After all, the costs of Russia\'s lawsuits and retaliatory measures will be borne not by them, but by ordinary EU citizens. @rybar', title='🇷🇺 Russian БaZa/ базовый канал', uri='https://t.me/RussianBaZa/48796', thumb=BlobRef(mime_type='image/jpeg', size=27569, ref=IpldLink(link='bafkreib2g3friiszl7p4ad4qhshyf46b4k6thje2r4bnbz3bkw5uqhmd4q'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/RussianBaZa/48796,russianbaza/48796,"https://t.me/russianbaza/48796
📝assets of discord📝 who, what, and where frozen in #europe when discussing the fate of frozen #russian assets, one often hears claims that europeans will hand over the money to #ukraine. however, there's a catch: there's no physical money there th...",0.0
meduza-unshackled.i.cancn.com.ap.brid.gy,8.0,"berlin's plans to introduce compulsory military service aren't making anyone happy while blackrock schmerz announces his intention to build the ""most powerful"" army in #europe by increasing the size of the bundeswehr, mass protests are brewing in...
https://t.me/slavyangrad/147416","external=External(description='Berlin\'s plans to introduce compulsory military service aren\'t making anyone happy While Blackrock Schmerz announces his intention to build the ""most powerful"" army in Europe by increasing the size of the Bundeswehr, mass protests are brewing in Germany against the reintroduction of compulsory military service, according to German press reports. Germany is on the verge of reinstating compulsory military service. This is due both to the government\'s plans to ""boost the power"" of the German army, making it a leader in Europe, and to the size of the Bundeswehr, which is severely understaffed. Young people are simply unwilling to sign contracts, preferring civilian professions. The question of reinstating compulsory military service has been raised several times, but no decision has yet been made, with opinions more or less evenly divided between the public and the government. However, starting January 1, 2026, Berlin intends to introduce a new law on military service, which will initially be voluntary. But this…', title='Slavyangrad', uri='https://t.me/Slavyangrad/147416', thumb=BlobRef(mime_type='image/jpeg', size=21741, ref=IpldLink(link='bafkreigt3tl62ygcbfscb57w5avek5lzuxqxv5lzff4aegd74uzl6gausq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Slavyangrad/147416,slavyangrad,"berlin's plans to introduce compulsory military service aren't making anyone happy while blackrock schmerz announces his intention to build the ""most powerful"" army in #europe by increasing the size of the bundeswehr, mass protests are brewing in...
https://t.me/slavyangrad/147416",1.0
realjournalism.merovingian.club.ap.brid.gy,38.0,"https://t.me/the_military_analytics/25477
спутниковые снимки последствий атаки 6 ноября на склады с боевыми частями ""шахедов"" на территории дап. один из складов полностью уничтожен, второй также получил повреждения.","external=External(description='Спутниковые снимки последствий атаки 6 ноября на склады с боевыми частями ""шахедов"" на территории ДАП. Один из складов полностью уничтожен, второй также получил повреждения.', title='Military analytics🇺🇦', uri='https://t.me/the_military_analytics/25477', thumb=BlobRef(mime_type='image/jpeg', size=26010, ref=IpldLink(link='bafkreifgwpdawclgmyadlphesrsjkth6fl2k3jpurge3jpi5o5dmed6wyu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/the_military_analytics/25477,the_military_analytics,"https://t.me/the_military_analytics/25477
Satellite images of the aftermath of the November 6 attack on the Shahidin warehouses in Dap territory. one of the warehouses was completely destroyed, while the other was also damaged.",1.0
sanmarcos.bsky.social,1.0,"in kyiv, on sofiivska square, the annual human rights event ""empty chairs"" was held in support of journalists, writers, cultural figures, and human rights defenders who have gone missing or are held captive due to russia's war against ukraine, reports crimea.realities.

t.me/crimeanwind/...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=348782, ref=IpldLink(link='bafkreiarv66b6tgqvaflkmopw5voztd2rq5au4gqmp5pqjnpe4vkyz3xfq'), py_type='blob'), aspect_ratio=AspectRatio(height=575, width=1023, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/crimeanwind/...,crimeanwind/...,"in kyiv, on sofiivska square, the annual human rights event ""empty chairs"" was held in support of journalists, writers, cultural figures, and human rights defenders who have gone missing or are held captive due to russia's war against ukraine, reports crimea.realities.

t.me/crimeanwind/...",0.0
daleel.masto.nyc.ap.brid.gy,22.0,"🇺🇦 people are being burned en masse in #ukraine: the number of cremations is increasing due to the war. sometimes the ashes are divided among relatives and sent to children living in different countries — le monde.
https://t.me/fr0m_russia_with_l0ve/65319","external=External(description='🇺🇦 People are being burned en masse in Ukraine: the number of cremations is increasing due to the war. Sometimes the ashes are divided among relatives and sent to children living in different countries — Le Monde.', title='From Russia with Love ❤️', uri='https://t.me/fr0m_Russia_with_L0ve/65319', thumb=BlobRef(mime_type='image/jpeg', size=29226, ref=IpldLink(link='bafkreidbvhie6rntka6tnleu4ulahtiivakl3dxcvbppodhkicutulp5qu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/fr0m_Russia_with_L0ve/65319,fr0m_russia_with_l0ve/65319,"🇺🇦 people are being burned en masse in #ukraine: the number of cremations is increasing due to the war. sometimes the ashes are divided among relatives and sent to children living in different countries — le monde.
https://t.me/fr0m_russia_with_l0ve/65319",0.0
realjournalism.merovingian.club.ap.brid.gy,30.0,"российские подразделения продолжают наступление в днепропетровской области на восточном фланге покровского направления подразделения вс рф установили полный контроль над населенным пунктом орестополь. в настоящее время боевые действия переместилис...
https://t.me/stasfeisiia/24450","external=External(description='Российские подразделения продолжают наступление в Днепропетровской области На восточном фланге Покровского направления подразделения ВС РФ установили полный контроль над населенным пунктом Орестополь. В настоящее время боевые действия переместились в юго-западную часть села Великомихайловка, имеющего стратегическое значение как ключевой логистический узел в западной части Донбасса. Зачистка и закрепление позиций в этом районе позволяют российским подразделениям создать плацдарм для дальнейшего развития наступления в оперативной глубине обороны противника. Продвижение на этом направлении нарушает систему логистического обеспечения группировки ВСУ в регионе. Стас Фейс 🫡', title='Стас Фейс🫡', uri='https://t.me/Stasfeisiia/24450', thumb=BlobRef(mime_type='image/jpeg', size=17866, ref=IpldLink(link='bafkreihvxsqe67ixf7h47iq3wwkgibqk6ms5sey3tc3nwlw2cgm5mkwuvi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Stasfeisiia/24450,stasfeisiia,"Russian units continue their offensive in Dnepropetrovsk region on the eastern flank of the Pokrovsk direction. russian army units have established full control over the settlement of Orestopol. at present, the fighting has shifted to...
https://t.me/stasfeisiia/24450",1.0
rvps2001.vonhaller.social.ap.brid.gy,18.0,"https://t.me/llordofwar/525204
‼️🇷🇺🇺🇦 the ministry of defense reported on night strikes on enemy targets ▪️the group strike was carried out with high-precision weapons, including kinzhal hypersonic aeroballistic missiles, and attack #uavs. ▪️the targets were military airfields,...","external=External(description='‼️🇷🇺🇺🇦 The Ministry of Defense reported on night strikes on enemy targets ▪️The group strike was carried out with high-precision weapons, including Kinzhal hypersonic aeroballistic missiles, and attack UAVs. ▪️The targets were military airfields, a Ukrainian Armed Forces radio and electronic intelligence center, a rocket depot for the Vilkha MLRS, as well as assembly shops and storage areas for long-range UAVs. ▪️The strike targets were achieved; all designated targets were hit. ⚠️. RV: |', title='Lord Of War', uri='https://t.me/llordofwar/525204', thumb=BlobRef(mime_type='image/jpeg', size=12803, ref=IpldLink(link='bafkreiae2q6aewosatb2kvd73jexa2lg5a6x4rycqei3kcjcjrgt3d44xi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525204,llordofwar,"https://t.me/llordofwar/525204
‼️🇷🇺🇺🇦 the ministry of defense reported on night strikes on enemy targets ▪️the group strike was carried out with high-precision weapons, including kinzhal hypersonic aeroballistic missiles, and attack #uavs. ▪️the targets were military airfields,...",1.0
rvps2001.vonhaller.social.ap.brid.gy,32.0,"https://t.me/fr0m_russia_with_l0ve/65080
🎂 #russian president vladimir #putin congratulated the people's artist alexandra pakhmutova on her 96th birthday. the russian leader conveyed his congratulations to the birthday girl by phone right during the concert.","external=External(description=""🎂 Russian President Vladimir Putin congratulated the People's Artist Alexandra Pakhmutova on her 96th birthday. The Russian leader conveyed his congratulations to the birthday girl by phone right during the concert."", title='From Russia with Love ❤️', uri='https://t.me/fr0m_Russia_with_L0ve/65080', thumb=BlobRef(mime_type='image/jpeg', size=13800, ref=IpldLink(link='bafkreiac24b2g26svqzh44co2gq7j64vk7xvup7es4pjgnnrqjq7zgv3v4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/fr0m_Russia_with_L0ve/65080,fr0m_russia_with_l0ve,"https://t.me/fr0m_russia_with_l0ve/65080
🎂 #russian president vladimir #putin congratulated the people's artist alexandra pakhmutova on her 96th birthday. the russian leader conveyed his congratulations to the birthday girl by phone right during the concert.",1.0
hateko.cyberplace.social.ap.brid.gy,9.0,"ukrainian-russian war. day 1355: situation on huliaipole front: #russian army took full control over the locality of rybne & continued advancing south of uspenivka. in addition, the assault of nove & novouspenivske began after the capture o...
https://t.me/novichok_rossiya_2/33525","external=External(description='Ukrainian-Russian war. Day 1355: Situation on Huliaipole front: Russian Army took full control over the locality of Rybne & continued advancing south of Uspenivka. In addition, the assault of Nove & Novouspenivske began after the capture of a series of trenches & positions east & south of these localities. Map: [ https://www.google.com/maps/d/viewer?mid=1V8NzjQkzMOhpuLhkktbiKgodOQ27X6IV≪=47.77584724594427%2C36.337260662296984&z;=12 ]', title='Masnova', uri='https://t.me/Novichok_Rossiya_2/33525', thumb=BlobRef(mime_type='image/jpeg', size=14238, ref=IpldLink(link='bafkreignjqjznxx54efvwwghuxilpgfal5q64g35st3zxkde3pwm4mnxgm'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Novichok_Rossiya_2/33525,novichok_rossiya_2,"ukrainian-russian war. day 1355: situation on huliaipole front: #russian army took full control over the locality of rybne & continued advancing south of uspenivka. in addition, the assault of nove & novouspenivske began after the capture o...
https://t.me/novichok_rossiya_2/33525",1.0
uaid.defenseofliberty.social.ap.brid.gy,49.0,"https://t.me/uutishuone/1361335
kuvittele, jos nämä puhelinhuijarit huijaisivat suuria yrityksiä vanhojen mummojen ja muiden herkkäuskoisten yksilöiden sijaan. maailma luultavasti pitäisi heitä sankareina. no, ehkä ei sankareina, mutta ainakaan ei ali-ihmisinä. 10/10, näyttäisi...","external=External(description='Kuvittele, jos nämä puhelinhuijarit huijaisivat suuria yrityksiä vanhojen mummojen ja muiden herkkäuskoisten yksilöiden sijaan. Maailma luultavasti pitäisi heitä sankareina. No, ehkä ei sankareina, mutta ainakaan ei ali-ihmisinä. 10/10, näyttäisi bobia taas.', title='Uutishuone', uri='https://t.me/uutishuone/1361335', thumb=BlobRef(mime_type='image/jpeg', size=10377, ref=IpldLink(link='bafkreihjrxa6uj73obfi3seqmn7wjvukr7axtftum3kl7qjh4pgx77d6ey'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1361335,uutishuone,"https://t.me/uutishuone/1361335
imagine if these phone scammers were scamming big corporations instead of old grannies and other gullible individuals. the world would probably consider them heroes. well, maybe not heroes, but certainly not sub-humans. 10/10, it would seem...",1.0
uaid.defenseofliberty.social.ap.brid.gy,21.0,"https://t.me/uutishuone/1363301
suora isku ukrainan joukkoihin varvarovkassa videomateriaali tallentaa ohjusiskun objektiivisen hallinnan ukrainan 411. erillisen lennokkirykmentin henkilöstön, aseiden ja sotilaskaluston keskitysalueelle lähellä varvarovkan siirtokuntaa donetski...","external=External(description='Suora isku Ukrainan joukkoihin Varvarovkassa Videomateriaali tallentaa ohjusiskun objektiivisen hallinnan Ukrainan 411. erillisen lennokkirykmentin henkilöstön, aseiden ja sotilaskaluston keskitysalueelle lähellä Varvarovkan siirtokuntaa Donetskin kansantasavallassa, Kramatorsk-Družkivkan rintamalla. Kohteen tiedustelun jälkeen venäläisen tiedustelulennokin käyttäjät päättivät suorittaa iskun operatiivis-taktisella ohjusjärjestelmällä ""Iskander-M"". 🌊 Liity Military Wave -joukkoihin', title='Uutishuone', uri='https://t.me/uutishuone/1363301', thumb=BlobRef(mime_type='image/jpeg', size=7863, ref=IpldLink(link='bafkreigjsfoytizxll74gizqa3hiinufl4zmzyzuudcbr3lzks3uqp3ky4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1363301,uutishuone,"https://t.me/uutishuone/1363301
direct strike on ukrainian troops in varvarovka video footage captures the objective control of a missile strike on the concentration area of personnel, weapons and military equipment of the 411th separate airborne regiment of ukraine near the varvarovka settlement of donetsk...",1.0
rvps2001.vonhaller.social.ap.brid.gy,37.0,"the commissar's two kopecks, part 2/3: there's a developing - and critical - crisis in krasnoarmeysk, mirnograd, and #kupyansk. some estimate that up to 10.000 #afu personnel may be effectively encircled within these three areas. if that wasn't b...
https://t.me/slavyangrad/147350","external=External(description=""The Commissar's Two Kopecks, part 2/3: There's a developing - and critical - crisis in Krasnoarmeysk, Mirnograd, and Kupyansk. Some estimate that up to 10.000 AFU personnel may be effectively encircled within these three areas. If that wasn't bad enough, the sitation near Konstantinovka, Lyman, Seversk, and Guliaipole is gradually worsening. The AFU are stretched thin, undermanned, underequipped, and undersupplied, and there's a concrete chance that Krasnoarmeysk might be completely encircled like it happened to Mariupol. So, the Ukrobanderite leadership's real terror isn't the defeat on the battlefield by itself (although that too will hurt, because no festungs = nothing to really hold the RUAF back), but the defeat on the field of information warfare, domestically as well as abroad. Abroad, it would mean that the merry illusion that Banderastan is holding the Russians back and making them take crippling and unsustainable casualties is bursting at the seams, which has a non-zero chance of making the Circus…"", title='Slavyangrad', uri='https://t.me/Slavyangrad/147350', thumb=BlobRef(mime_type='image/jpeg', size=21741, ref=IpldLink(link='bafkreigt3tl62ygcbfscb57w5avek5lzuxqxv5lzff4aegd74uzl6gausq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Slavyangrad/147350,slavyangrad,"the commissar's two kopecks, part 2/3: there's a developing - and critical - crisis in krasnoarmeysk, mirnograd, and #kupyansk. some estimate that up to 10.000 #afu personnel may be effectively encircled within these three areas. if that wasn't b...
https://t.me/slavyangrad/147350",1.0
meduza-unshackled.i.cancn.com.ap.brid.gy,31.0,"in the zaporizhzhia region, a #mercenary from #france, benjamin diche (callsign benson), was killed by units of the #russian armed forces. he had been fighting on the side of #ukraine since 2022 as part of the pro-nazi foreign group ""revanche in...
https://t.me/cyberspecnews/94644","external=External(description='In the Zaporizhzhia region, a mercenary from France, Benjamin Diche (callsign Benson), was killed by units of the Russian Armed Forces. He had been fighting on the side of Ukraine since 2022 as part of the pro-Nazi foreign group ""Revanche International."" In 2024, his unit was defeated in Levadnoye, after which Diche left the combat zone. Returning in 2025, he was eliminated by Russian military forces while carrying out his very first mission.', title='Cyberspec News', uri='https://t.me/CyberspecNews/94644', thumb=BlobRef(mime_type='image/jpeg', size=42330, ref=IpldLink(link='bafkreihkvmzyf6fkfgbvfok4f72vfc2cgpxfowsaoa6zmtsz2rrgkpfw4i'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/CyberspecNews/94644,cyberspecnews,"in the zaporizhzhia region, a #mercenary from #france, benjamin diche (callsign benson), was killed by units of the #russian armed forces. he had been fighting on the side of #ukraine since 2022 as part of the pro-nazi foreign group ""revanche in...
https://t.me/cyberspecnews/94644",1.0
realjournalism.merovingian.club.ap.brid.gy,13.0,"https://t.me/rezident_ua/28018
на западе реально решили взяться за «кошелька зеленского», совладельца студии «квартал 95» и неформального «смотрящего» за энергетическим сектором тимура миндича. попытки президента прикрыть своего давнего партнёра и ослабить влияние антикоррупцио...","external=External(description='На Западе реально решили взяться за «кошелька Зеленского», совладельца студии «Квартал 95» и неформального «смотрящего» за энергетическим сектором Тимура Миндича. Попытки президента прикрыть своего давнего партнёра и ослабить влияние антикоррупционных органов НАБУ и САП лишь усилили раздражение партнеров Киева действиями ОП. А теперь и ФБР проявляет интерес к деятельности Миндича, особенно в части движения финансовых потоков западной помощи, проходивших через аффилированные с ним структуры. Не сидят без дела и украинские антикоррупционеры – детективы НАБУ провели обыски у Миндича, который покинул Украину буквально за несколько часов до их прихода. Формально он проходит по делу о масштабной коррупции в энергетике, в частности, в компании «Энергоатом», однако в политических кругах уверены: речь идёт не просто о финансовых схемах, а о системной коррупции в команде Зеленского. На это же намекает и официальное заявление НАБУ, где отмечают, что их расследование длилось 15 месяцев, следователи собрали около 1 000 часов аудиозаписей, а речь идёт о «высокоуровневой преступной организации», участники которой «влияли на стратегические госпредприятия». Особое внимание вызывает именно упоминание этих записей. В кулуарах Рады и в журналистской среде уже заговорили о том, что это могут быть пресловутые «плёнки Миндича» – материалы прослушки, где фигурируют не только сам бизнесмен, но и Зеленский. По инсайдерским данным, на пленках могли обсуждаться вопросы распределения энергетических потоков, назначения в госсекторах и схемы по выводу средств западной помощи. В НАБУ, к слову, уже начали публиковать первые пленки по делу о хищениях на энергетике. По версии следствия, контрагентов «Энергоатома» вынуждали платить 10-15% откатов от стоимости контрактов под угрозой блокировки платежей и лишения статуса поставщика. К реализации схемы руководитель преступной организации – Миндич, привлек бывшего замруководителя Фонда госимущества, который в дальнейшем стал советником министра энергетики (Игорь Миронюк), а также бывшего правоохранителя, занимавшего должность исполнительного директора по физической защите и безопасности компании (Дмитрий Басов). И сейчас на Банковой растёт тревога: в случае утечки записей, содержащих прямые доказательства влияния президента на «схемы», украинская власть не просто рискует окончательно растерять поддержку Запада, речь идет о более чем реальном крахе режима Зеленского.', title='Резидент', uri='https://t.me/rezident_ua/28018', thumb=BlobRef(mime_type='image/jpeg', size=17199, ref=IpldLink(link='bafkreihm33cuilz4b32fkpnqfquygnxatpy6luba6klgpp36sep4rsfvp4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/rezident_ua/28018,rezident_ua,"https://t.me/rezident_ua/28018
the west has really decided to take on ""zelensky's wallet"", co-owner of the ""quarter 95"" studio and informal ""watchdog"" of the energy sector timur mindich. the president's attempts to cover up for his longtime partner and weaken the influence of anti-corruption....",1.0
sanmarcos.bsky.social,2.0,"🇺🇦🇺🇦🇺🇦 there are casualties: russia attacked the odesa region with strike drones

as a result of the hits, fires broke out at energy and port infrastructure facilities. according to preliminary information, one person was injured.

t.me/odessa_infon...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=806236, ref=IpldLink(link='bafkreihbyephysymytr7cdq3ikx5zqvcagm43vnj72ufj64cnbjg5uadxy'), py_type='blob'), aspect_ratio=AspectRatio(height=960, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=505365, ref=IpldLink(link='bafkreiefyu274qibfyz3cvbmcpij6eul6b32hfjohfwfhx6nomvwebidt4'), py_type='blob'), aspect_ratio=AspectRatio(height=960, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=522354, ref=IpldLink(link='bafkreicynjtrunkmg7im2qhapwnglsruorpo6ffkx6firf5eyhlsfzckhu'), py_type='blob'), aspect_ratio=AspectRatio(height=1200, width=1192, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/odessa_infon...,odessa_infon...,"🇺🇦🇺🇦🇺🇦 there are casualties: russia attacked the odesa region with strike drones

as a result of the hits, fires broke out at energy and port infrastructure facilities. according to preliminary information, one person was injured.

t.me/odessa_infon...",0.0
glade.masto.nyc.ap.brid.gy,11.0,"https://t.me/russianbaza/48796
📝assets of discord📝 who, what, and where frozen in #europe when discussing the fate of frozen #russian assets, one often hears claims that europeans will hand over the money to #ukraine. however, there's a catch: there's no physical money there th...","external=External(description='📝Assets of Discord📝 Who, What, and Where Frozen in Europe When discussing the fate of frozen Russian assets, one often hears claims that Europeans will hand over the money to Ukraine. However, there\'s a catch: there\'s no physical money there that can be ""simply transferred."" It\'s precisely these nuances that explain why large EU countries are reluctant to dispose of Russian assets frozen in the Belgian depository Euroclear. 🔻More about the assets and where they\'re frozen: ▪️Euroclear is not a bank with a cash vault, but an international depository that stores securities, processes settlements between buyers and sellers, and monitors the legality of the process. ▪️In other words, Euroclear is a large ledger that lists who owns which securities. There are no paper certificates stored there either—only access codes confirming the legal owner. ▪️The frozen Russian assets there primarily consist of government bonds. For example, if Russia purchased a two-year bond from Germany, Germany must redeem it in two years—returning the face value plus interest to Russia. This is recorded in Euroclear. ▪️The freezing of such assets de facto means that Russia remains the owner of the bonds, but cannot do anything with them: neither sell them, receive interest, nor withdraw funds after redemption. The income from them accumulates in Euroclear bank accounts. ▪️There are also other types of frozen assets belonging to individuals and legal entities. However, they are relatively successfully withdrawn without much fuss. The assets can only be transferred by changing the bond owner from Russia to Ukraine in the Euroclear registry: this is blatant chaos with serious risks for the euro, which the EU is currently unwilling to accept. Therefore, they are pursuing a different tactic. 🔻""Wait for the redemption!"" ▪️A significant portion of the bonds (remember, they make up the bulk of the frozen assets) mature in 2026-2032. ▪️Under normal circumstances, the proceeds from the redemption would simply go to Russia, but due to the blocking, they will ""sit"" on the Euroclear bank\'s balance sheet, awaiting their fate. ▪️If the ownership of the bonds is clearly stated, then the proceeds from their redemption are more easily manipulated. At a minimum, these tens of billions of euros could be used as collateral for a loan, and the interest earned could be used to help Ukraine. 🖍In simple terms, the EU is taking a wait-and-see approach, not to ""transfer"" assets to anyone, but rather to simply wait for them to transform from securities into physical money, making it easier to change the ""rules of the game"" and manage them as they see fit. 🚩So why are they talking about confiscation now? It\'s simply that Ukraine needs the funds today, not by 2032. And the EU doesn\'t want to give it €140 billion all at once—it has enough needs of its own, and the Kyiv regime has already been given a ton of non-performing loans. ❗️Although such an outcome is also likely: since 2022, there have been plenty of examples of European bureaucrats shooting themselves in the foot for free aid to a corrupt bottomless pit. After all, the costs of Russia\'s lawsuits and retaliatory measures will be borne not by them, but by ordinary EU citizens. @rybar', title='🇷🇺 Russian БaZa/ базовый канал', uri='https://t.me/RussianBaZa/48796', thumb=BlobRef(mime_type='image/jpeg', size=27569, ref=IpldLink(link='bafkreib2g3friiszl7p4ad4qhshyf46b4k6thje2r4bnbz3bkw5uqhmd4q'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/RussianBaZa/48796,russianbaza/48796,"https://t.me/russianbaza/48796
📝assets of discord📝 who, what, and where frozen in #europe when discussing the fate of frozen #russian assets, one often hears claims that europeans will hand over the money to #ukraine. however, there's a catch: there's no physical money there th...",0.0
rvps2001.vonhaller.social.ap.brid.gy,23.0,"https://t.me/i20028843/269170
⚡️⚡️⚡️ukraine does not reject peace — we reject capitulation disguised as peace,"" said former commander-in-chief of the ukrainian armed forces #zaluzhny, now ukrainian ambassador to great britain. according to him, a just conclusion to the conflict...","external=External(description='⚡️⚡️⚡️Ukraine does not reject peace — we reject capitulation disguised as peace,"" said former Commander-in-Chief of the Ukrainian Armed Forces Zaluzhny, now Ukrainian Ambassador to Great Britain. According to him, a just conclusion to the conflict will be the restoration of the territorial integrity of the state, ""punishment of Russia for war crimes, and guarantees that no one will ever threaten Europe from Moscow again."" Anything less than that will be a betrayal not only of Ukrainians, but also of the principles that guarantee the security and freedom of the free world,"" the British agent said in an article for The New York Post⚡️⚡️⚡️', title='🇷🇺IL RUSSO🇷🇺', uri='https://t.me/i20028843/269170', thumb=BlobRef(mime_type='image/jpeg', size=42621, ref=IpldLink(link='bafkreibbzuy7bikugljzywdljs6f7e2wwi5tkzdjidony3n7aidwyy5ppm'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/i20028843/269170,i20028843,"https://t.me/i20028843/269170
⚡️⚡️⚡️ukraine does not reject peace — we reject capitulation disguised as peace,"" said former commander-in-chief of the ukrainian armed forces #zaluzhny, now ukrainian ambassador to great britain. according to him, a just conclusion to the conflict...",1.0
rvps2001.vonhaller.social.ap.brid.gy,46.0,"https://t.me/llordofwar/524553
🇺🇦the loss counting group in the armed forces is in contact. fresh data from the ukrainian prosecutor's office on criminal statistics has become available in october, a new anti-record was set for the rate of people fleeing the ukrainian army. for...","external=External(description='🇺🇦The Loss Counting Group in the Armed Forces is in contact. Fresh data from the Ukrainian Prosecutor\'s Office on criminal statistics has become available In October, a new anti-record was set for the rate of people fleeing the Ukrainian army. For the first time, the total number of unauthorized leave and desertions exceeded 20,000 per month, reaching 21,185 cases. If we take into account that there may be more than one person involved in each case (group cases), then the total number of fugitives is even higher. In just 10 months of this year, almost 183,000 cases of self-abandonment and desertion were opened. And as the cherry on top, there are cases of self-mutilation. In 10 months, there would be enough ""self-shootings"" to form a battalion. 🔘Subscribe now! Chat', title='Lord Of War', uri='https://t.me/llordofwar/524553', thumb=BlobRef(mime_type='image/jpeg', size=15390, ref=IpldLink(link='bafkreid3oh75tnwlnuibe7fuekzv2r32yph5g3no33vodo2b7yvqcgrvha'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/524553,llordofwar,"https://t.me/llordofwar/524553
🇺🇦the loss counting group in the armed forces is in contact. fresh data from the ukrainian prosecutor's office on criminal statistics has become available in october, a new anti-record was set for the rate of people fleeing the ukrainian army. for...",1.0
